id,voted16,trump16,clinton16,voted12,obama12,romney12,democrat,republican,liberal,conservative,age,female,white,black,hispanic,asian,income100,church,south,apprentice,homealone2
72,1,0,1,1,1,0,0,0,0,1,59,0,0,0,0,0,0,1,1,0,1
73,1,1,0,1,0,1,0,1,0,1,72,0,1,0,0,0,0,0,1,0,0
74,0,0,0,1,1,0,1,0,1,0,50,1,1,0,0,0,1,0,0,0,1
75,0,0,0,0,0,0,0,0,0,0,25,1,1,0,0,0,0,1,1,1,1
76,0,0,0,1,1,0,0,0,0,0,26,0,0,0,1,0,0,1,1,0,1
77,0,0,0,1,0,1,0,1,0,1,44,1,1,0,0,0,0,1,1,0,0
78,1,1,0,1,0,1,0,1,0,1,74,0,1,0,0,0,0,0,0,0,1
79,0,0,0,0,0,0,1,0,0,0,40,1,0,0,1,0,1,0,0,0,1
80,1,0,0,1,0,1,0,1,0,1,30,1,1,0,0,0,0,1,0,0,1
81,1,0,0,1,1,0,1,0,1,0,74,1,1,0,0,0,0,1,1,0,0
82,1,0,1,1,1,0,0,0,1,0,73,0,1,0,0,0,0,0,1,0,0
83,1,0,0,1,1,0,1,0,0,0,80,1,1,0,0,0,0,1,0,0,1
84,0,0,0,1,1,0,1,0,0,0,46,0,0,0,1,0,0,0,0,0,1
85,1,1,0,1,0,1,0,0,0,0,77,0,1,0,0,0,0,0,1,1,1
86,1,1,0,1,0,1,0,0,0,1,75,0,1,0,0,0,1,0,1,1,1
87,0,0,0,1,1,0,1,0,0,0,46,1,1,0,0,0,0,1,0,0,1
88,0,0,0,0,0,0,0,0,1,0,25,1,0,0,1,0,0,0,0,0,1
89,0,0,0,1,1,0,0,0,0,0,65,0,1,0,0,0,0,0,0,0,1
90,0,0,0,0,0,0,0,0,1,0,76,0,1,0,0,0,0,0,1,0,0
91,1,0,1,1,1,0,1,0,1,0,59,0,0,0,0,0,0,0,0,0,0
92,1,0,1,1,1,0,1,0,0,0,55,1,0,1,0,0,0,0,0,0,1
93,1,0,1,1,0,0,0,0,0,0,34,1,1,0,0,0,1,0,0,1,0
94,0,0,0,1,1,0,1,0,0,1,32,0,0,1,0,0,0,0,0,0,1
95,1,0,1,1,1,0,0,0,1,0,55,1,1,0,0,0,0,0,0,1,0
96,1,0,0,1,1,0,0,0,0,1,78,0,1,0,0,0,0,0,0,0,0
97,1,0,1,1,0,1,0,1,0,1,89,0,1,0,0,0,1,0,0,0,0
98,0,0,0,0,0,0,0,1,0,0,58,0,1,0,0,0,1,0,0,0,0
99,1,0,1,1,1,0,1,0,1,0,40,0,0,1,0,0,0,0,1,0,1
100,1,1,0,1,0,1,0,1,0,1,62,1,1,0,0,0,0,0,1,0,1
101,0,0,0,1,1,0,0,0,1,0,64,0,1,0,0,0,0,0,0,0,0
102,0,0,0,1,0,1,0,1,0,1,61,1,1,0,0,0,1,0,0,0,1
103,1,1,0,1,0,1,0,1,0,1,30,1,1,0,0,0,1,1,1,0,0
104,1,1,0,1,0,1,0,1,0,1,64,1,1,0,0,0,0,0,1,0,1
105,1,0,1,1,1,0,1,0,1,0,73,1,1,0,0,0,0,0,0,1,1
106,1,1,0,1,0,1,0,1,0,1,77,1,1,0,0,0,0,1,0,0,0
107,1,0,1,1,1,0,1,0,1,0,56,0,0,1,0,0,0,1,0,1,0
